Part,Direct Link,Description ,Price
Stearing Wheel,,,
Hoverboard Motor,Link,Creates the foce feedback,"$62,00"
Rotary Encoder,Link,Tells computer how much I turn the wheel ,"$43,35"
Brushless Servo Motor Controller,Link,Controls the motor and encoder and sends the info to the computer,"$50,37"
Quick Relese Clamp,Link,Clamp to stick to the desk ,"$75,43"
Quick Relese Plate,Link,Plate to put the base ,"$16,48"
Buttons ,Link,Buttons for the stearing wheel ,"$11,52"
Power Sorce,Link,Givs power to everything,"$27,96"
Stearing Wheel,Link,Self explenetory,"$53,77"
Wireless USB conector,Link,Wireless USB Conector to conect the buttons to the computer whitout having to worry about cabels ,"$30,88"
Motor Axel Clamp,Link,Conects the Motor to the Base Axel,"$5,82"
Base Axel,Link,Alows for tilt ajustments,"$12,99"
Pulley,Link,Stiks to the encoder,"$4,93"
Idler Pully,Link,Tensioner for the belt,"$2,91"
Belt,Link,Conector the Motor to the Encoder,"$11,43"
Limit Switch x2,Link,The button for the paddles,"$1,39"
Magnets,Link,"Used to retract the paddles, also used for the Pedals","$2,19"
Potentiometer,Link,Used to replicate the brake bias,"$0,35"
Soldering Iron,Link ,You should know what this is for ,"$19,66"
Electrical Terminals,Link,For the Power Sorce,"$7,21"
Emargncy Stop,Link,For stoping the motore in case of an emagency ,"$2,12"
Pedals,,,
Esp32,Link,The brain,"$15,99"
Load Cell Sensor,Link,Senzor for the brake,"$23,81"
Hall Effect Sensor x2,Link,The seszor for the Gas and the Clutch,"$2,12"
Steel Rod,Link,Axel for the peddals,"$18,01"
Linear Berring x2,Link,Conects the Axel to the flor board,"$14,11"
Bushing,Link,Simulating the hidraulic feel of an Brake ,"$10,53"
Springs,Link,For retracting the Gas and Cluthc,"$1,50"
Springs(Other Kind),Link,To Simulate the little movemet of the Brake,"$12,83"
Wire Clamp x2,Link,To conect the Gas and Clutch to the springs,"$14,81"
Wires x3,Link,Wires,"$4,39"
PLA+ Filament,Link,For stronger parts,"$14,28"
Total:,,,"$575,14"
